"Jussi Patinen, äänesi eduskuntaan",44
Demokraatti.fi,44
Pirkanmaan Kokoomus,43
Stina Wahlsten,43
Katariina Souri 2019,43
Keski-Suomen Vihreät,43
Ville Turkka,42
Jussi Ylitalo,42
Marjut Lehtonen,42
Kansan Uutiset,42
Kaisa Varonen eduskuntaan 2019 Uusimaa,42
Otto Meri,41
Satu Lampi,41
Vasemmisto-opiskelijat - Vasop,41
Keski-Suomen Vihreät Naiset ry,41
Saga Nyrén - Piraattipuolue,40
Jari Robson - Piraattipuolue,40
Mika Walkamo - Eduskuntavaalit 2019,40
Tarja Edry,39
KD Pirkanmaan piiri,39
Mari Kousa-Kuusisto,39
Ajak Majok,39
John Eriksson - Kandidat/Ehdokas,38
Kokoomusnuoret,38
SFP i Helsingfors,38
Kristillisdemokraatit,37
Jukka Hämäläinen kansanedustajaksi,37
Heta Tuura,37
Niina Ratilainen,37
Espoon Perussuomalaiset ry,37
Olli Kopakkala,36
Ville-Veikko Rantamaula,36
Eero Lehti,36
Antti Lindtman,35
Juha Rehula (poliitikko),35
Tuire Kaimio,35
Taru Tolvanen - eduskuntavaaliehdokas SDP,34
Jelena Kiilholma,34
Kimmo Moilanen - Seitsemän tähden liike,34
Jyrki J.J. Kasvi,34
"Pertti Villo, poliitikko",34
Henrik Wickström,34
Oras Tynkkynen,34
Minna Karvonen,34
Espoon Vasemmisto,34
Riitta Kuismanen,33
Jenni Pitko,33
Riikka Taivassalo,33
Heikki Hankila eduskuntaan,33
Saara-Sofia Sirén,33
Touko Aalto,32
Petra Schulze Steinen,32
Sami Ryynänen,32
Jarno Alastalo,32
Tekniset Demarit ry,32
Mia Heijnsbroek-Wiren Politik,31
Mika Flöjt poliitikko,31
Kokoomusnaiset,30
"Nina ""Peppi"" Pelkonen",30
Eduskuntavaaliehdokas Pasi Huuhtanen,29
Hanna Laine,29
Jari Turpeinen,29
Mika Maaskola,28
Paavo Väyrynen,27
Tiina Ahva,27
Eduskuntavaaliehdokas Ulla Kaukola,27
Vasemmistonuoret,27
Tuomas Kurttila eduskuntaan 2019,26
Ari-Martti - Piraattipuolue,26
Sini Ruohonen - Eduskuntavaalit 2019,26
Veli Liikanen,26
Kokoomusopiskelijat,26
Tuomo Liljenbäck,26
Anna Jensen,25
Mika Pietilä - eduskuntavaaliehdokas,25
Kirkkonummen Vihreät - De Gröna i Kyrkslätt,25
Matti Föhr Eduskuntaan 2019,25
Juho Ojares - Eteenpäin,25
Calle Wikman,25
Marko Meriläinen - Oikeus elää luonnosta,25
Mervi Syväranta,25
Salla Airaksinen eduskuntaan,25
Toni Ahva,24
Tanja von Knorring till Riksdagen Eduskuntaan,24
Risto Kalliorinne,24
Timo Elo,24
Espoon Vihreät,24
Elina Rantanen,24
Tommi Aalto,24
Auri Siika-aho,24
Ilona Helle Vihreä poliitikko,23
Jens Berg,23
Elin Blomqvist-Valtonen,23
Bicca Olin,23
Jani Meronen - Liberaalipuolue - Vapaus valita,23
Riikka Karppinen,22
Kristian Rehnström,22
Sami Virtanen SDP,22
Evelyn Hynynen,22
"Sirkka-Liisa ""Siku"" Kähärä",22
Emma Lindqvist,22
Emilia Taskinen,22
Suomenmaa,22
Hussein al-Taee,21
Poliitikko Piia Koo,21
Terhi Koulumies,21
Arja Alho - ehdolla eduskuntaan,21
Niklas Andersson,21
Akseli Erkkilä - Aksu politiikassa,20
Kirkkonummen Perussuomalaiset,20
Eva Tawasoli,20
Pertti Vallittu - Poliitikko,20
Kari Hannus,20
Vantaan Vasemmisto,20
Johanna Karjula,20
Heikki Kuula,20
Joakim Strand,20
Eduskuntavaaliehdokas Jouni Kaskiharju PS,20
Ismo Nöjd eduskuntavaaliehdokas,20
People's Vote UK,19
Irma Taavela,19
Harri Virtanen SDP,19
Sonja Karppinen,19
Petra Malin (Vas),19
Ilpo Forsman eduskuntaan 2019,19
Johannes Koski,19
Katja Hänninen,19
Eeva-Maria Grekula,18
Mikko Vesterinen,18
Antti Saarelainen,18
Joonas Könttä,17
Mikko Aaltonen - Vas.,17
Jiri Keronen eduskuntaan 2019,17
Vantaan Kokoomus,17
Hanna Saari,17
Sonja Koto - Teoilla terveyttä,17
Pia Lohikoski,17
Viivu Seila,17
Said Moradi - Ääni kaikille,17
Outi Lankia,16
Hämeenlinnan Vasemmisto,16
"Pekka Myllymäki, poliitikko",16
Toni Paussu Politiikka / Politics,16
"Jaana Ristimäki-Anttila, Eduskuntavaaliehdokas 2019",16
Tiia-Henriikka Rantanen,16
Laura Ala-Kokko,16
Katri Kulmuni,16
Tuuli Hirvilammi Vihreät,16
Sami Savio,16
Esa Aalto,16
Piia Aallonharja PS,16
Teija Makkonen - Liike Nyt,16
Sabrina Kaleva,16
Karin Palmén,15
Juha Huhtala,15
Laura Meriluoto eduskuntaan 2019,15
Mikko Savola,15
Hannele Vestola,15
Krista Mikkonen,15
Eduskuntavaaliehdokas Tanja Aidanjuuri-Vestala,15
Lulu Ranne eduskuntaan 2019,15
Eduskuntaryhmän puheenjohtaja Leena Meri -Uusimaa,15
Saku Nikkanen,15
Sveta Silvennoinen-Hiisku,15
Eduskuntavaaliehdokas Jenni Kiiskinen - Ylöjärven vihreät,15
Ehdokas Jaakko Ukkola,14
Juha Pylväs,14
Henna Partanen,14
Matias Mäkynen,14
"Markku Brask, Piraattipuolue 215 Uusimaa",14
Tanja Tiainen,14
Vihreä Lanka,14
Kaj Turunen,14
Mikki Kauste,14
Sebastian Tynkkynen,14
Ville Valkonen,14
Krista Eduskuntaan 2019,13
Eduskuntavaaliehdokas Emilia Kankaanpää - Vasemmistoliitto,13
Satu Kurki -Vaalisivusto - Liike Nyt,13
Eduskuntavaaliehdokas Mika Nurmi,13
Sirkku Hildén,13
Hjallis,13
Inka Hopsu,13
Oulun Vasemmistoliitto,13
Petteri Räty,13
Mirka Soinikoski,13
Eläinoikeuspuolue,13
Minna Engström - Liike Nyt,13
Tiina Elo - rohkeasti ympäristön puolesta,13
Tiina Tuomela,12
Teemu Häyrinen,12
Miikka Kortelainen,12
Hannah Honkanen,12
"Emilia Koikkalainen Keski-Suomesta - Rohkeasti, intohimolla",12
Janne Uotila - PIR,12
Turun vihreät,12
Piritta Rantanen,12
Sanna Marin,12
Tarja Smura eduskuntaan 2019,12
Jumalauta,12
Kristel Pynnönen,12
Katri Kapanen poliitikko,12
Mari Rantanen Perussuomalaiset Helsinki,12
Tarja Simonen,11
Demarinaiset,11
Arja Karhuvaara,11
Savo-Karjalan Vasemmisto,11
Jouko Jääskeläinen,11
Husu Hussein,11
Susanna Koski,11
Olli-Pekka Jalkanen,11
Kati Tervo Eduskuntaan 2019,11
Keravan Vasemmisto,11
Erno Välimäki,10
Mika Kari,10
Tiina Haapala kansanedustaehdokas,10
Tuomo Puumala,10
Kokoomuspoliitikko Jarmo Husso,10
Arvo Kristiansson eduskuntaan 2019,10
Hannakaisa Heikkinen,10
Petri Eronen,10
Mervi Uusitalon poliitikkosivu,10
Heli Kaunismaa,10
Ville-Joonas Engman,10
Tuuli Kamppila,10
Krista Sorri,10
Seinäjoen vasemmisto,10
Tapio Karjalainen 2019,10
Jeppe Isberg,10
Sonja Falk,9
Samuli Voutila,9
Kansanedustaja Markus Lohi,9
Silja Keränen,9
Maiju Tapiolinna poliitikko,9
Eero Suutari,9
Kieltolaki kumoon 2020,9
Annika Aalto-Partanen,9
Antti Kurvinen,9
Annele Wiman - Liike Nyt,9
Heidi Haataja - poliitikko,9
Arto PIRTTILAHTI - Oma edustajasi.,9
Galia Suarez Katainen,9
Ugur Yildiz,9
Tuomas Suihkonen,9
Savo-Karjalan Kokoomus,9
Roosa Kauppinen,9
Tiina Wesslin - Lempäälän vihreät,8
Jaana Auvinen eduskuntaan,8
Jussi Wihonen ehdolla 2019,8
Suvi Karhu,8
Heidi Himmanen,8
Olli Immonen,8
Sari Auvinen eduskuntaan,8
Veikko Vallin eduskuntaan,8
"Hanna-Kaisa Lähde, poliitikko",8
Albana Mustafi eduskuntaan 2019,8
Tiia Löfqvist - PIR,8
Carita Orlando,8
Heikki Autto,8
Anita Hellman,8
Jani Méling,8
Teemu Lahtinen,8
Suomen Uutiset,8
Perttu Mikael Hillman,8
Anni Koivisto,8
Pirkanmaan Vihreät,8
Tuulia Pitkänen,8
Jukka Kopra,8
"Jukka Karhu, eduskuntavaaliehdokas Liike Nyt",7
Lare Inkala Perussuomalaiset,7
Saara Huhmarniemi,7
Ilkka Kantola,7
Noora Juvonen,7
Keski-Suomen Keskusta,7
NEOS,7
Petri Nieminen,7
Jukka Järvinen Poliitikko,7
Pirjo Merihonka Eduskuntaan 2019,7
Amro El-khatib,7
Turun vihreät nuoret,7
Katja Isomöttönen,7
Jarmo Alatarvas,7
Esko Kiviranta,7
Markku Sistonen,7
Henna Takatalo,7
Teuvo Hakkarainen,7
Thomas Blomqvist,7
Anni Järvinen,7
Hussein al-Taee - Ehdolla eduskuntaan Uudeltamaalta,7
Laura Korpinen eduskuntaan,7
Irma Hirsjärvi politiikassa,7
Hjälm Heli - vaikuttaa ja välittää,7
Oulun Vihreät,7
Tampereen Vasemmisto,6
Satu eduskuntaan,6
Juhana Lähdesmäki Eduskuntaan,6
Eija Tuohimaa,6
Kimmo Perkkiö,6
Satu Simelius,6
Harri Vuorenpää - eduskuntavaaliehdokas 2019,6
Aino-Kaisa Pekonen,6
Tamperelainen Kokoomus,6
"Rita Kostama, eduskuntavaaliehdokas: Kaikille hyvä Suomi",6
Party of European Socialists,6
Saara Hanhela eduskuntaan - äänestäisitkö minua?,6
Jani Kokko,6
Ninni Pehkonen,6
Konsta Weber,6
Eduskuntavaaliehdokas Riikka Raekannas,6
Kimmo Kautio - Kokoaan Suurempi Suomi,6
Aki Linden,5
Virva-Mari Rask,5
Emma Kivikangas,5
Sirpa Siru Kauppinen,5
Juri Nieminen,5
Lisa Sipilä - meidän Rööperin friidu,5
Markus Myllyniemi eduskuntaan,5
Riitta Mäkinen,5
Tobias Simon - Vihreät De Grönä,5
Olli Rainio,5
Jaakko Lindfors,5
Matias Marttinen,5
Tiera Laitinen eduskuntaan 2019,5
Juha Kantola eduskuntaan 2019,5
Janne Ruokonen 2019,5
Hanna Holopainen,5
Matti Karppa,5
Varsinais-Suomen vihreät,5
Hämeenlinnan Vihreät,5
Pidetään Arja Juvonen eduskunnassa,5
Vihreät Naiset ry,5
Ari Alapartanen (Vas.),5
Matti Henttunen,5
Esa-Jussi Salminen Sukukansapolitiikka Iževsk,5
Meän Heidi,5
Sirkku Ingervo,5
Irina Tuokko,5
Hämeen Vasemmistoliitto,5
Eeva-Johanna Eloranta,5
Kalle Huikko eduskuntavaaliehdokas,5
Eduskuntavaaliehdokas Elina Nykyri,5
Ehdokas Henna Kajava PS,5
Marjo Tapaninen,5
Keski-Pohjanmaan Keskusta,5
"Ilkka Mäkijärvi, Valkeala, Kokoomus, puh 040-506 3162",5
Tiina Heikkinen,5
Johanna Yli-Kaatiala Kristillisdemokraatti EK 2019 Vaasan vaalipiiri,5
Mika Kasonen,5
Donald J. Trump,5
"Harri Heinonen, eduskuntavaalit 2019",5
Anne Kalmari,5
Ville Skinnari,5
Eemeli Lehtinen,5
Eduskuntavaaliehdokas Timo Markkula,5
